Ticker,Equal Weight,Mean-Variance
AAPL,0.022222222222222223,0.0
AGG,0.022222222222222223,0.1
AMZN,0.022222222222222223,0.0
BAC,0.022222222222222223,0.009558638471784692
BRK-B,0.022222222222222223,0.004494523981841794
COST,0.022222222222222223,0.006341354842702406
CVX,0.022222222222222223,3.454724903869812e-18
DBC,0.022222222222222223,0.08241301020665455
DIA,0.022222222222222223,0.0
EEM,0.022222222222222223,0.0
EFA,0.022222222222222223,0.0
GLD,0.022222222222222223,0.07543787133445996
GOOGL,0.022222222222222223,2.020156191643162e-18
GS,0.022222222222222223,8.62936341543489e-20
HD,0.022222222222222223,6.287279303091954e-19
HYG,0.022222222222222223,0.1
IEF,0.022222222222222223,0.1
IWM,0.022222222222222223,1.093054970757756e-18
JNJ,0.022222222222222223,0.049075258474733485
JPM,0.022222222222222223,0.006415785723687622
KO,0.022222222222222223,0.014504401150356892
LQD,0.022222222222222223,0.1
META,0.022222222222222223,0.0
MSFT,0.022222222222222223,6.220910500016694e-19
NVDA,0.022222222222222223,2.056528565507713e-18
PFE,0.022222222222222223,0.010244401713330195
QQQ,0.022222222222222223,0.0
SHY,0.022222222222222223,0.1
SPY,0.022222222222222223,2.6526923763376807e-18
TIP,0.022222222222222223,0.1
TLT,0.022222222222222223,0.07771852541313648
TSLA,0.022222222222222223,1.7499423465738885e-18
UNH,0.022222222222222223,0.005826571431518249
VNQ,0.022222222222222223,1.835207553755299e-18
WMT,0.022222222222222223,0.03585343641646597
XLB,0.022222222222222223,2.2139869276680888e-18
XLE,0.022222222222222223,1.0474837253614514e-18
XLF,0.022222222222222223,2.2797592298485215e-18
XLI,0.022222222222222223,8.322447897218918e-18
XLK,0.022222222222222223,1.3608320516092282e-18
XLP,0.022222222222222223,0.022116220839327738
XLU,0.022222222222222223,0.0
XLV,0.022222222222222223,0.0
XLY,0.022222222222222223,0.0
XOM,0.022222222222222223,1.0077939184714385e-17
