ticker,portfolio,weight,mrc,crc,risk_pct,port_vol_daily
AAPL,Equal Weight,0.0222222222222222,0.012752872150685057,0.00028339715890411205,0.03184899729936604,0.008898150112554822
AGG,Equal Weight,0.0222222222222222,0.00046449630598114256,1.0322140132914269e-05,0.0011600321417763312,0.008898150112554822
AMZN,Equal Weight,0.0222222222222222,0.012884236581158743,0.000286316368470194,0.03217706656423078,0.008898150112554822
BAC,Equal Weight,0.0222222222222222,0.013657526337951854,0.00030350058528781865,0.034108278849959546,0.008898150112554822
BRK-B,Equal Weight,0.0222222222222222,0.009277223393488923,0.00020616051985530918,0.023168919072788806,0.008898150112554822
COST,Equal Weight,0.0222222222222222,0.007732450455113413,0.00017183223233585345,0.01931100623863462,0.008898150112554822
CVX,Equal Weight,0.0222222222222222,0.011719833896283428,0.00026044075325074256,0.02926908963732523,0.008898150112554822
DBC,Equal Weight,0.0222222222222222,0.004333740752115151,9.630535004700326e-05,0.010823075451505534,0.008898150112554822
DIA,Equal Weight,0.0222222222222222,0.010213599708741467,0.0002269688824164768,0.025507423402110933,0.008898150112554822
EEM,Equal Weight,0.0222222222222222,0.00980052566260258,0.00021778945916894597,0.024475813108800735,0.008898150112554822
EFA,Equal Weight,0.0222222222222222,0.00919985666843846,0.00020444125929863224,0.02297570356901222,0.008898150112554822
GLD,Equal Weight,0.0222222222222222,0.0007908720736019017,1.757493496893113e-05,0.001975122328419008,0.008898150112554822
GOOGL,Equal Weight,0.0222222222222222,0.012363428801102725,0.00027474286224672695,0.03087640226018207,0.008898150112554822
GS,Equal Weight,0.0222222222222222,0.013542485114009177,0.00030094411364464804,0.03382097512830581,0.008898150112554822
HD,Equal Weight,0.0222222222222222,0.010734586029320568,0.00023854635620712347,0.02680853359290345,0.008898150112554822
HYG,Equal Weight,0.0222222222222222,0.0040211977895519115,8.935995087893127e-05,0.010042531284435077,0.008898150112554822
IEF,Equal Weight,0.0222222222222222,-0.0004855366564790761,-1.078970347731279e-05,-0.0012125782708575675,0.008898150112554822
IWM,Equal Weight,0.0222222222222222,0.012205519300861613,0.0002712337622413689,0.030482039391386804,0.008898150112554822
JNJ,Equal Weight,0.0222222222222222,0.005727052757879006,0.00012726783906397778,0.014302730056712528,0.008898150112554822
JPM,Equal Weight,0.0222222222222222,0.012359575843682042,0.00027465724097071174,0.030866779892056995,0.008898150112554822
KO,Equal Weight,0.0222222222222222,0.006136109012090826,0.00013635797804646265,0.015324306324532418,0.008898150112554822
LQD,Equal Weight,0.0222222222222222,0.001594597717115592,3.54355048247909e-05,0.003982345136523745,0.008898150112554822
META,Equal Weight,0.0222222222222222,0.01420639585472486,0.00031569768566055214,0.03547902447893292,0.008898150112554822
MSFT,Equal Weight,0.0222222222222222,0.0124658649795434,0.00027701922176763083,0.031132226166512,0.008898150112554822
NVDA,Equal Weight,0.0222222222222222,0.018491493705224127,0.0004109220823383135,0.04618061924562547,0.008898150112554822
PFE,Equal Weight,0.0222222222222222,0.006952229912905147,0.00015449399806455867,0.017362485023328142,0.008898150112554822
QQQ,Equal Weight,0.0222222222222222,0.012219680666942914,0.00027154845926539783,0.030517405958600016,0.008898150112554822
SHY,Equal Weight,0.0222222222222222,-3.859777483636863e-05,-8.577283296970797e-07,-9.639400536599966e-05,0.008898150112554822
SPY,Equal Weight,0.0222222222222222,0.01073660069341587,0.00023859112652035243,0.026813565010969303,0.008898150112554822
TIP,Equal Weight,0.0222222222222222,0.000308059607309196,6.84576905131546e-06,0.0007693474446622835,0.008898150112554822
TLT,Equal Weight,0.0222222222222222,-0.0013530414912844375,-3.006758869520969e-05,-0.003379083103215568,0.008898150112554822
TSLA,Equal Weight,0.0222222222222222,0.01903119502846127,0.0004229154450769166,0.04752846824647354,0.008898150112554822
UNH,Equal Weight,0.0222222222222222,0.009227065810715354,0.00020504590690478543,0.023043655626294336,0.008898150112554822
VNQ,Equal Weight,0.0222222222222222,0.009435209664086482,0.00020967132586858828,0.023563473667718098,0.008898150112554822
WMT,Equal Weight,0.0222222222222222,0.005903918922842199,0.00013119819828538205,0.014744435261916782,0.008898150112554822
XLB,Equal Weight,0.0222222222222222,0.010839011394095887,0.00024086691986879724,0.027069325289190926,0.008898150112554822
XLE,Equal Weight,0.0222222222222222,0.012381740189621326,0.00027514978199158474,0.030922133085096302,0.008898150112554822
XLF,Equal Weight,0.0222222222222222,0.011589715670958367,0.0002575492371324079,0.0289441326426961,0.008898150112554822
XLI,Equal Weight,0.0222222222222222,0.010712373182423848,0.00023805273738719635,0.02675305927367044,0.008898150112554822
XLK,Equal Weight,0.0222222222222222,0.012898735164685773,0.0002866385592152391,0.032213275297615765,0.008898150112554822
XLP,Equal Weight,0.0222222222222222,0.006438615710490909,0.00014308034912202005,0.01607978594563619,0.008898150112554822
XLU,Equal Weight,0.0222222222222222,0.00670906145463458,0.00014909025454743494,0.01675519660396339,0.008898150112554822
XLV,Equal Weight,0.0222222222222222,0.008291875439635811,0.00018426389865857339,0.0207081130715683,0.008898150112554822
XLY,Equal Weight,0.0222222222222222,0.011834629295658605,0.0002629917621257465,0.029555779437197744,0.008898150112554822
XOM,Equal Weight,0.0222222222222222,0.010108672287415665,0.0002246371619425701,0.025245377870802492,0.008898150112554822
AAPL,Mean-Variance,0.0,0.006288793209300536,0.0,0.0,0.003420562457487696
AGG,Mean-Variance,0.1,0.002346375391818807,0.0002346375391818807,0.06859618618226172,0.003420562457487696
AMZN,Mean-Variance,0.0,0.0058323942103758325,0.0,0.0,0.003420562457487696
